account_id,company,domain,slug,hq_city,hq_state,hq_country,hq_label,in_sd_or_denver_metro,revenue,revenue_label,employees_total,employees_label,engineering_headcount,engineering_headcount_label,sector,sector_label,cto_name,cto_title,cto_source_date,cto_source_url,cio_name,cio_title,cio_source_date,cio_source_url,vp_eng_name,vp_eng_title,vp_eng_source_date,vp_eng_source_url,github_org,github_url,github_label,near_match_notes,seed_thesis_status,last_researched
A001,Vector Forge,vectorforge.io,vector-forge,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,CANNOT_VERIFY,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,"Real but unrelated: VECTOR FORGE LTD (UK, Co#15889801, https://find-and-update.company-information.service.gov.uk/company/15889801); VectorForge Web Marketing US (https://www.zoominfo.com/c/vectorforge-web-marketing/359648755); VECTOR FORGE LLC NY (https://www.nycompanyregistry.com/companies/vector-forge-llc/); VectorForge Labs on Crunchbase. None match seeded description of 120-employee US B2B SaaS AI/ML platform. GitHub: github.com/s-emanuilov/vector_forge is an unaffiliated Python package (https://github.com/s-emanuilov/vector_forge).",UNVERIFIED,2026-07-14
A002,Pipewell,pipewell.com,pipewell,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,CANNOT_VERIFY,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,"Only near-match is a consumer brand at choosepipewell.com (ZoomInfo, https://www.zoominfo.com/c/pipewell/1339224277), Virginia, US — unrelated to the seeded fintech infra Series B of 210 employees. No verifiable Pipewell entity matching the seed description.",UNVERIFIED,2026-07-14
A003,Northwind Atlas,northwindatlas.io,northwind-atlas,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,CANNOT_VERIFY,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,"All web references for 'Northwind' map to Microsoft's Northwind Traders sample database (https://services.odata.org/Northwind/Northwind.svc/, https://github.com/microsoft/sql-server-samples/tree/master/samples/databases/northwind-pubs). No real B2B SaaS data infrastructure company at northwindatlas.io. GitHub org northwindlabs/ai-atlas exists (https://github.com/northwindlabs/ai-atlas) but is a directory repo, not a product company matching the seed.",UNVERIFIED,2026-07-14
A004,Loomscale,loomscale.com,loomscale,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,CANNOT_VERIFY,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,"Closest real entity is Loom, Inc. (https://en.wikipedia.org/wiki/Loom,_Inc., video messaging, acquired by Atlassian) and loomhq on GitHub (https://github.com/loomhq). Different product (async video, not dev tools), different scale than seeded 340-person Series C developer tools. Loopscale exists (https://github.com/LoopscaleLabs, Solana lending infra) but is not 'Loomscale'.",UNVERIFIED,2026-07-14
A005,Cashlayer,cashlayer.com,cashlayer,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,CANNOT_VERIFY,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,"No verifiable 'Cashlayer' B2B SaaS fintech infrastructure company found. Layer Financial Technologies (https://www.crunchbase.com/organization/layer-financial-technologies) exists but is on a different domain and is SMB embedded accounting, not the Series A infra company described in the seed. No GitHub org matched.",UNVERIFIED,2026-07-14
A006,Helio Compute,helio-compute.dev,helio-compute,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,CANNOT_VERIFY,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,"Multiple real 'Helio' companies: Helio AG carbon-aware cloud (Zurich, https://ch.linkedin.com/company/helioag, https://rockstart.com/blog/2023/10/05/helio-raises-e4-9m-round-to-revolutioni, €4.9M 2023 round — Seed-stage not Series A, and climate compute not AI/ML platform per the seed); Helio.AI recruiting automation (https://www.crunchbase.com/organization/helio-ai); Helio cloud AI platform at helio.cloud. None are a 75-employee US B2B SaaS AI/ML platform on helio-compute.dev. Real GitHub org 'helio' exists (https://github.com/helio) but is the carbon-aware cloud co, not the seed.",UNVERIFIED,2026-07-14
A007,Strata Ledger,strataledger.com,strata-ledger,UNKNOWN,UNKNOWN,UK,CANNOT_VERIFY,CANNOT_VERIFY,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,"Nearest real entities: Ledger (https://ukfintech.co/company/ledger/, hardware crypto wallet — completely different product); Strata Global Limited UK advisory (https://www.strataglobal.co.uk/, https://internationalfintech.com). No verifiable UK fintech ledger infra company on strataledger.com with the seeded shape.",UNVERIFIED,2026-07-14
A008,Quanta Flow,quanta-flow.io,quanta-flow,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,CANNOT_VERIFY,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,"Real entities with similar name: Quantaflow (Quebec, https://www.linkedin.com/company/quantaflow/, people-flow counting for shopping centres, ~1.2k LinkedIn followers — different vertical); QuantaFlow Solutions (https://quantaflowsolutions.com, Houston, AI workflow automation, much smaller); Quant Flow by Quant Network (https://quant.network/quant-flow/, programmable money on Overledger — different product). None are a 420-person US Series C data infrastructure Snowflake-replacement.",UNVERIFIED,2026-07-14
A009,Beacon OSS,beaconoss.dev,beacon-oss,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,CANNOT_VERIFY,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Many open-source Beacon projects exist (Beacon CMS https://github.com/BeaconCMS/beacon; Beacon SDK by AirGap for Tezos https://github.com/airgap-it/beacon-sdk; AltBeacon https://github.com/AltBeacon). None match a 55-employee US Seed-stage developer tools company at beaconoss.dev. GitHub org 'beaconoss' did not surface in verification.,UNVERIFIED,2026-07-14
A010,Mercury Index,mercuryindex.com,mercury-index,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,CANNOT_VERIFY,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,"Several real Mercury-named orgs: Mercury.com banking (https://mercury.com/, https://www.linkedin.com/company/withvector — different product), MercuryAI (https://www.crunchbase.com/organization/mercuryai, LLM router), Mercury Analytics. GitHub 'MercuryTechnologies' exists (https://github.com/MercuryTechnologies, 216 repos) but is the Mercury banking co, not the seeded AI/ML vector DB Series A.",UNVERIFIED,2026-07-14
