company,slot,role_title,name,linkedin_url,source_url,confidence,why_this_person
Qualcomm,economic_buyer,"Chief Information Officer",UNVERIFIED — use search link,https://www.linkedin.com/search/results/people/?keywords=Chief%20Information%20Officer%20Qualcomm,,SLOT ONLY,"Fortune July 2026 article is cited in the seed but I could not surface the URL. Verify before quoting any name. SD Union-Tribune (Apr 2026 layoff story) implies cost-engineering pressure on whichever CIO is in seat."
Qualcomm,technical_champion,Vice President Platform Engineering,UNVERIFIED — use search link,https://www.linkedin.com/search/results/people/?keywords=Vice%20President%20Platform%20Engineering%20Qualcomm,https://www.linkedin.com/jobs/view/agentic-ai-benchmarking-and-evaluation-eng…,SLOT ONLY,LinkedIn agentic-AI benchmarking-engineer posting implies a platform eval team exists; the line manager likely reports into a VP Platform. Verify before outreach.
Qualcomm,program_owner,Head of Agentic Platform Evaluation,UNVERIFIED — use search link,https://www.linkedin.com/search/results/people/?keywords=Agentic%20AI%20Platform%20Qualcomm,https://www.linkedin.com/jobs/view/agentic-ai-benchmarking-and-evaluation-eng…,SLOT ONLY,The LinkedIn posting is the only program-owner signal I can surface. Whoever owns the agentic-platform eval team is the natural program owner.
Qualcomm,security_governance,Head of Application Security,UNVERIFIED — use search link,https://www.linkedin.com/search/results/people/?keywords=Application%20Security%20Qualcomm,,SLOT ONLY,Air-gapped / firmware-domain work means any agent proposal lands here first. Slot is real; specific title and name are not surfaced in this research pass.
Qualcomm,wildcard,Engineering blog author discussing token spend,UNVERIFIED — use search link,https://www.linkedin.com/search/results/people/?keywords=engineering%20blog%20author%20Qualcomm,,SLOT ONLY,The seed cites a CIO publicly discussing agentic workflows and token spend. If that quote comes from a specific engineer rather than a CIO, it's a wildcard. Source URL still pending.
DaVita,economic_buyer,Chief Information Officer,Madhu Narasimhan,https://www.linkedin.com/in/mnaras/,https://investors.davita.com/2024-05-13-davita-appoints-new-chief-information…,VERIFIED,Investor press release 2024-05-13 named Madhu Narasimhan CIO; LinkedIn profile surfaced in current search. Signs the check on the GCP-migration program.
DaVita,technical_champion,VP Engineering — Healthcare Technology,UNVERIFIED — use search link,https://www.linkedin.com/search/results/people/?keywords=VP%20Engineering%20DaVita,https://careers.davita.com/corporate,SLOT ONLY,Multiple engineering leadership roles implied by DaVita's Corporate careers portal. The Sr Director of Transformation req reports into a senior platform/engineering VP — verify the actual incumbent.
DaVita,program_owner,"Sr Director, Transformation",UNVERIFIED — use search link,https://www.linkedin.com/search/results/people/?keywords=Sr%20Director%20Transformation%20DaVita,https://careers.davita.com/job/R0466819/Sr-Director-of-Transformation,SLOT ONLY,The req itself is live on DaVita's career site 2026-07-06. New leader will be the program owner once seated. Reach Madhu the CIO until they start.
DaVita,security_governance,Chief Information Security Officer,UNVERIFIED — use search link,https://www.linkedin.com/search/results/people/?keywords=CISO%20DaVita,,SLOT ONLY,Healthcare data + GCP migration = HIPAA/CMS review. CISO is the gatekeeper. Slot strong; name not surfaced in this research pass.
DaVita,wildcard,Eng-blog author on revenue-cycle modernization,UNVERIFIED — use search link,https://www.linkedin.com/search/results/people/?keywords=revenue%20cycle%20modernization%20DaVita,,SLOT ONLY,DaVita is a heavy poster of engineering blog content; a specific author could be the wildcard with the lowest authority and highest response rate. Verify before outreach.
ResMed,economic_buyer,Chief Technology Officer,Urvashi Tyagi,https://www.linkedin.com/in/urvashityagi,https://newsroom.resmed.com/news-releases/news-details/2022/ResMed-Welcomes-U…,VERIFIED,ResMed newsroom 2022-02-01 named Urvashi Tyagi CTO; LinkedIn profile surfaced in current search. Bloomberg bio lists her as Former CTO — verify current title before outreach.
ResMed,technical_champion,VP Platform — Connected Devices,UNVERIFIED — use search link,https://www.linkedin.com/search/results/people/?keywords=VP%20Platform%20ResMed,https://careers.resmed.com/,SLOT ONLY,CTO-led platform — Tyagi will have a VP-level platform partner. Verify a specific human exists for that seat.
